0.093 0.380343 -nan -nan 7.16985 0.127048 -nan -nan 0.817984 -nan -nan 3 -nan -nan
0.01023 0.0259534 2.61225 -1830.39 -0.0186997 0.493758 2.69559 5.39118 0.0199654 3.06234 11.2883 1 15.4132 4.415
0.0093 0.0229691 2.38649 -1831.06 -0.280089 0.523509 3.15322 6.30644 0.0184176 3.06284 11.5979 1 15.5913 4.51694
0.00837 0.0201308 2.14591 -1831.76 -0.572552 0.55785 3.74977 7.49953 0.0169229 3.07165 11.9641 1 15.901 4.66099
0.00744 0.0174418 1.88749 -1832.49 -0.905123 0.597942 4.55672 9.11345 0.0154743 3.09255 12.4102 1 16.4094 4.8692
0.00651 0.014904 1.60733 -1833.26 -1.29123 0.645333 5.70263 11.4053 0.0140629 3.13182 12.9749 1 17.2352 5.18071
0.00558 0.0125186 1.31922 -1834.07 -1.75191 0.683287 7.43641 14.8728 0.0126771 3.19968 13.7225 1 18.5911 5.66635
0.00465 0.0102846 0.981707 -1834.95 -2.32249 0.749622 10.2834 20.5667 0.0113002 3.31218 14.76 1 20.8643 6.457
0.00372 0.00819735 0.579688 -1835.96 -3.06785 0.85479 15.4758 30.9515 0.00990577 3.49283 16.2635 1 24.7663 7.79903
0.00279 0.00624336 0.150012 -1837.08 -4.12305 0.954826 26.3629 52.7258 0.00844544 3.77273 18.526 1 31.6148 10.1668
0.00186 0.00438355 -0.328681 -1838.42 -5.82567 1.05552 54.7509 109.502 0.00680819 4.1933 22.1247 1 44.0416 14.5681
0.00093 0.00247082 -0.71327 -1840.17 -9.27526 1.01039 178.226 356.453 0.00461844 4.88407 29.3281 1 70.9261 24.6475
